Author	Contribution Entry	Column	Year	Issue
Abdalhalím, lbróhím	1 Místečko na zemi. (Povídka.) Z arabštiny přeložil Rudolf Veselý. Dřevořez: Jiří Svoboda. 4/3, str. 51-56. - Následuje stať Jaroslava Oliveria Arabská povídka.	Arabic	1959	3
Abe, Kóbó	2 Kouzelnd křída - Osud bdsníka. (Povídky.) Z japonštiny přeložili Vlasta a Jan Winkelhoferovi. 2/6, str. 54-66. - Úvodní poznámka.	Japanese	1957	6
Adamov, Arthur	3 Paolo Paoli. (Divadelní hra.) Z francouzštiny přeložila Dagmar Steinová. 4/1, str. 137-179. 3 obr. - Následuje stať Jana Kopeckého Hodina 0,00 ve francouzském dramatu.	French	1959	1
Adams, Francise 4 Z d{la Francise Adamse. (Básně.) Z angličtiny přeložila Hana Žantovská. 3/3, str. 5~59. - Vyšlo pod souborným názvem Příběhy z Austrálie. Post mortem - Lyrika z Hongkongu - Mohamedánský topí~ - Ostrovanka z jižních moří - Smrt na moři - Umění - Porážka?				
Addams, Chase	5 Kresby. 2/6, str. 208, 220, 252.		1957	6
Ahumada, Herminio	Interpunkce. (Báseň.) Viz zázn. 912.			
Achmadulina, Bella Achatovna	6 Můj rodokmen. (Báseň.) Z ruštiny přeložil Václav Daněk. Fotografie Josefa Proška. 10/1, str. 1-18.	Russian	1965	1
Achmadulina, Bella Achatovna	7 Struna. (Básně.) Z ruštiny přeložil Václav Daněk. Poznámku pod fotografii autorky napsal Andrej Vozněsenskij. 8/4, str. 195-202. Bývala jsem samý smích a žár ... - Chopinova mazurka - Pardál - Automat na sodovku - Malé éroplány - Na panenské půdě - Sněhurka.	Russian	1963	4
Aichinger, lise	8 Zrcadlový příběh - Kde bydlfm. (Povídky.) Z němčiny přeložila a poznámku napsala Jitka Bodláková. Ilustroval František Foltýn. 10/3, str. 74-81. - Fotografie autorky.	German	1965	3
Aiken, Conrad	9 Logos v Pdté avenue. (Verše.) Z angličtiny přeložil a poznámku o autorovi napsal Stanislav Mareš. 8/4, str, 45-52. - Fotografie autora.	English	1963	4
Aillaud, Enrico	1 O Setkání s Ungarettim. (Přednáška.) Z italštiny přeložila 15 Alena Hartmanová, verše přeložil Jan Vladislav. 6/4, str. 227-228.	Italian	1961	4
Aj Čching	11 Mám rád tuto zemi. (Básně.) Z čínštiny přeložila Dana Šťovíčková, básně Píšťalka a Můj otec přaložil Miroslav Žilina. Úvodní poznámku napsal Oldřich Král. 2/S, str. 173-178. - Fotografie autora. Píšťalka - Můj otec - Trakař - Jsou rybníky v zimě - Pod• zim - Mám rád tuto zemi.	Chinese		
Ajgi, Gennadij	12 Tady. (Básně.) Z ruštiny přeložila a závěrečnou stať o autorovi napsala Olga Mašková. 8/6, str. 129-143. - Fotografie autora. Dům přátel - Okna do jara - Tady - Ticho - Lidé - Vcílka - Dětství - Z poémy o Wolkrovi - Domů - Sníh - Na rozlouče• nou - Pole k lesní ohradě - Rekviem děvčátku - Ženy na ulici - Ró.no v Peredělki:iu.	Russian	1963	6
Aksěnov, Vasilij Pavlovič	Vždycky na prodej. Divadelní hra. Recenze s ukázkami. Viz zázn. 822.			
Zvezdnyj bilet (Lístek procviknutý hvězdami). Recenze s ukázkami. Viz zázn. 139S.				
Alaví, Bozorg 13	Padesát tři. (Povídka.) Z perštiny přeložila Věra Kubíčková. 7/1, str. 171-17S.	Persian	1962	1
Albee, Edward 14	Kde se něco děje neboli poznámky o budoucnosti. (Článek o experimentálních scénách mimo Broadway.) Z angličtiny přeložila Wanda Zámecká. 10/6, str. 242-244. - Fotografie autora.	English	1965	6
Albee, Edward 15	Kdopak by se Kafky bál? Ukázka z dramatu. Viz zázn. 732.			
Alberti, Rafael	1 S Námořník na zemi - Do trysku - Návraty sladké svobodyBalada o tom, co nikdy nebylo v Granadě- Čelem k španělským břehům - Praha. (Básně.) Ze španělského originálu přeložil Lumír Čivrný. 1/4, str. 1S7-162. - Poznámka s fotografií autora.	Spanish	1956	4
Aldridge, James	16 A co že je vlastně shnilého ve státě dánském? Poznámky o anglickém divadle. Z angličtiny přeložila Stáňa Síbrtová. 4/S, str. 244-246.	English		
Aldridge, James	16 Heroes of the Empty View (Hrdinové prázdného obzoru). Recenze s ukázkami. Viz zázn. 1308.			
Alexis, Jacques-Stephen 17 Romancera hvězddm. (Tři povídky ze stejnojmenné sbírky haitského spisovatele.) Z francouzštiny přeložil Josef Pospišil. Závěrečnou poznámku napsala EP (= Eva Pilařová). Ilustrace Jitky Kolinské. 8/4, str. 151-173.				
